county,state,start month,end month,year,species,water depth (cm),seeds that germinate (%),note,source,,,,,,,,,,,,,
Washington County ,Arkansas,May,September,1983,Typha domingensis ,-16,7,Negative depth values are above the water ,"Grace, James B. “Juveniles vs. Adult Competitive Abilities in Plants: Size-Dependence in Cattails (Typha).” Ecology, vol. 66, no. 5, 1985, pp. 1630–1638.",,,,,,,,,,,,,
Washington County ,Arkansas,May,September,1983,Typha domingensis ,-13,21,Negative depth values are above the water ,"Grace, James B. “Juveniles vs. Adult Competitive Abilities in Plants: Size-Dependence in Cattails (Typha).” Ecology, vol. 66, no. 5, 1985, pp. 1630–1638.",,,,,,,,,,,,,
Washington County ,Arkansas,May,September,1983,Typha domingensis ,-10,43,Negative depth values are above the water ,"Grace, James B. “Juveniles vs. Adult Competitive Abilities in Plants: Size-Dependence in Cattails (Typha).” Ecology, vol. 66, no. 5, 1985, pp. 1630–1638.",,,,,,,,,,,,,
Washington County ,Arkansas,May,September,1983,Typha domingensis ,-8,93,Negative depth values are above the water ,"Grace, James B. “Juveniles vs. Adult Competitive Abilities in Plants: Size-Dependence in Cattails (Typha).” Ecology, vol. 66, no. 5, 1985, pp. 1630–1638.",,,,,,,,,,,,,
Washington County ,Arkansas,May,September,1983,Typha domingensis ,-5,93,Negative depth values are above the water ,"Grace, James B. “Juveniles vs. Adult Competitive Abilities in Plants: Size-Dependence in Cattails (Typha).” Ecology, vol. 66, no. 5, 1985, pp. 1630–1638.",,,,,,,,,,,,,
Washington County ,Arkansas,May,September,1983,Typha domingensis ,-2,98,Negative depth values are above the water ,"Grace, James B. “Juveniles vs. Adult Competitive Abilities in Plants: Size-Dependence in Cattails (Typha).” Ecology, vol. 66, no. 5, 1985, pp. 1630–1638.",,,,,,,,,,,,,
Washington County ,Arkansas,May,September,1983,Typha domingensis ,2,97,Negative depth values are above the water ,"Grace, James B. “Juveniles vs. Adult Competitive Abilities in Plants: Size-Dependence in Cattails (Typha).” Ecology, vol. 66, no. 5, 1985, pp. 1630–1638.",,,,,,,,,,,,,
Washington County ,Arkansas,May,September,1983,Typha domingensis ,4,85,Negative depth values are above the water ,"Grace, James B. “Juveniles vs. Adult Competitive Abilities in Plants: Size-Dependence in Cattails (Typha).” Ecology, vol. 66, no. 5, 1985, pp. 1630–1638.",,,,,,,,,,,,,
Washington County ,Arkansas,May,September,1983,Typha domingensis ,7,86,Negative depth values are above the water ,"Grace, James B. “Juveniles vs. Adult Competitive Abilities in Plants: Size-Dependence in Cattails (Typha).” Ecology, vol. 66, no. 5, 1985, pp. 1630–1638.",,,,,,,,,,,,,
Washington County ,Arkansas,May,September,1983,Typha domingensis ,9,91,Negative depth values are above the water ,"Grace, James B. “Juveniles vs. Adult Competitive Abilities in Plants: Size-Dependence in Cattails (Typha).” Ecology, vol. 66, no. 5, 1985, pp. 1630–1638.",,,,,,,,,,,,,
Washington County ,Arkansas,May,September,1983,Typha domingensis ,12,90,Negative depth values are above the water ,"Grace, James B. “Juveniles vs. Adult Competitive Abilities in Plants: Size-Dependence in Cattails (Typha).” Ecology, vol. 66, no. 5, 1985, pp. 1630–1638.",,,,,,,,,,,,,
Washington County ,Arkansas,May,September,1983,Typha domingensis ,15,97,Negative depth values are above the water ,"Grace, James B. “Juveniles vs. Adult Competitive Abilities in Plants: Size-Dependence in Cattails (Typha).” Ecology, vol. 66, no. 5, 1985, pp. 1630–1638.",,,,,,,,,,,,,
Washington County ,Arkansas,May,September,1983,Typha domingensis ,17,97,Negative depth values are above the water ,"Grace, James B. “Juveniles vs. Adult Competitive Abilities in Plants: Size-Dependence in Cattails (Typha).” Ecology, vol. 66, no. 5, 1985, pp. 1630–1638.",,,,,,,,,,,,,
Washington County ,Arkansas,May,September,1983,Typha domingensis ,19,87,Negative depth values are above the water ,"Grace, James B. “Juveniles vs. Adult Competitive Abilities in Plants: Size-Dependence in Cattails (Typha).” Ecology, vol. 66, no. 5, 1985, pp. 1630–1638.",,,,,,,,,,,,,
Washington County ,Arkansas,May,September,1983,Typha latifolia,-16,22,Negative depth values are above the water ,"Grace, James B. “Juveniles vs. Adult Competitive Abilities in Plants: Size-Dependence in Cattails (Typha).” Ecology, vol. 66, no. 5, 1985, pp. 1630–1638.",,,,,,,,,,,,,
