county,state,start month,end month,year,species,water depth (cm),seeds that germinated and survived (%),note,source
Washington County ,Arkansas,May,September,1983,Typha domingensis ,-16,7,Negative depth values are above the water ,"Grace, James B. “Juveniles vs. Adult Competitive Abilities in Plants: Size-Dependence in Cattails (Typha).” Ecology, vol. 66, no. 5, 1985, pp. 1630–1638."
Washington County ,Arkansas,May,September,1983,Typha domingensis ,-13,23,Negative depth values are above the water ,"Grace, James B. “Juveniles vs. Adult Competitive Abilities in Plants: Size-Dependence in Cattails (Typha).” Ecology, vol. 66, no. 5, 1985, pp. 1630–1638."
Washington County ,Arkansas,May,September,1983,Typha domingensis ,-10,44,Negative depth values are above the water ,"Grace, James B. “Juveniles vs. Adult Competitive Abilities in Plants: Size-Dependence in Cattails (Typha).” Ecology, vol. 66, no. 5, 1985, pp. 1630–1638."
Washington County ,Arkansas,May,September,1983,Typha domingensis ,-7,90,Negative depth values are above the water ,"Grace, James B. “Juveniles vs. Adult Competitive Abilities in Plants: Size-Dependence in Cattails (Typha).” Ecology, vol. 66, no. 5, 1985, pp. 1630–1638."
Washington County ,Arkansas,May,September,1983,Typha domingensis ,-4,90,Negative depth values are above the water ,"Grace, James B. “Juveniles vs. Adult Competitive Abilities in Plants: Size-Dependence in Cattails (Typha).” Ecology, vol. 66, no. 5, 1985, pp. 1630–1638."
Washington County ,Arkansas,May,September,1983,Typha domingensis ,-1,91,Negative depth values are above the water ,"Grace, James B. “Juveniles vs. Adult Competitive Abilities in Plants: Size-Dependence in Cattails (Typha).” Ecology, vol. 66, no. 5, 1985, pp. 1630–1638."
Washington County ,Arkansas,May,September,1983,Typha domingensis ,3,97,Negative depth values are above the water ,"Grace, James B. “Juveniles vs. Adult Competitive Abilities in Plants: Size-Dependence in Cattails (Typha).” Ecology, vol. 66, no. 5, 1985, pp. 1630–1638."
Washington County ,Arkansas,May,September,1983,Typha domingensis ,4,77,Negative depth values are above the water ,"Grace, James B. “Juveniles vs. Adult Competitive Abilities in Plants: Size-Dependence in Cattails (Typha).” Ecology, vol. 66, no. 5, 1985, pp. 1630–1638."
Washington County ,Arkansas,May,September,1983,Typha domingensis ,8,80,Negative depth values are above the water ,"Grace, James B. “Juveniles vs. Adult Competitive Abilities in Plants: Size-Dependence in Cattails (Typha).” Ecology, vol. 66, no. 5, 1985, pp. 1630–1638."
Washington County ,Arkansas,May,September,1983,Typha domingensis ,11,86,Negative depth values are above the water ,"Grace, James B. “Juveniles vs. Adult Competitive Abilities in Plants: Size-Dependence in Cattails (Typha).” Ecology, vol. 66, no. 5, 1985, pp. 1630–1638."
