,species,month,density_ramet/m2 mean,density_ramet/m2 sd,depth_cm,
,typha latifolia,may,6,2.8,-15,Grace_Wetzel1981_Habitat partitioning and competitive displacement in typha
,typha latifolia,september,10,0,-15,
,typha latifolia,may,16,4.2,15,
,typha latifolia,september,18,12,15,
,typha latifolia,may,18,1.4,50,
,typha latifolia,september,24,12,50,
,typha latifolia,may,3,2.1,80,
,typha latifolia,september,0,0,80,
,typha latifolia,may,0,0,100,
,typha latifolia,september,0,0,100,
,typha angustifolia,may,0,0,-15,
,typha angustifolia,september,0,0,-15,
,typha angustifolia,may,15,7.1,15,
,typha angustifolia,september,2,0,15,
,typha angustifolia,may,28,4.2,50,
,typha angustifolia,september,29,3.5,50,
,typha angustifolia,may,65,9.2,80,
,typha angustifolia,september,43,10.6,80,
,typha angustifolia,may,50,6.4,100,
,typha angustifolia,september,34,2.8,100,
,typha angustifolia,may,0,0,110,
,typha angustifolia,september,0,0,110,
,typha angustifolia,may,0,0,120,
,typha angustifolia,september,0,0,120,
,,,,,,
,,,,,,
,,,,,,
notes: these values are from Tabl 1. I added in additional zeros in locations that the authors documented as depths out of their range in the absence of biotic competition with each other per top panel of figure 2,,,,,,
notes: the may or sept date represents the beginning and end of the growing season,,,,,,
