location (county),location (state),time (month),time (year),Species,depth,Leaf height (cm),"Leaf weight, g dry weight",source
Kalamazoo,Michigan,May,1979,Typha latifolia,-15,51,3.6,"Grace, James & Wetzel, Robert. (1982). Niche differentiation between two rhizomatous plant species: Typha latifolia and Typha angustifolia. Canadian Journal of Botany. 60. 46-57. 10.1139/b82-007. "
Kalamazoo,Michigan,May,1979,Typha latifolia,15,90,5.2,"Grace, James & Wetzel, Robert. (1982). Niche differentiation between two rhizomatous plant species: Typha latifolia and Typha angustifolia. Canadian Journal of Botany. 60. 46-57. 10.1139/b82-007. "
Kalamazoo,Michigan,May,1979,Typha latifolia,50,107,5.2,"Grace, James & Wetzel, Robert. (1982). Niche differentiation between two rhizomatous plant species: Typha latifolia and Typha angustifolia. Canadian Journal of Botany. 60. 46-57. 10.1139/b82-007. "
Kalamazoo,Michigan,May,1979,Typha latifolia,80,93,4.7,"Grace, James & Wetzel, Robert. (1982). Niche differentiation between two rhizomatous plant species: Typha latifolia and Typha angustifolia. Canadian Journal of Botany. 60. 46-57. 10.1139/b82-007. "
Kalamazoo,Michigan,May,1979,Typha latifolia,100,0,0,"Grace, James & Wetzel, Robert. (1982). Niche differentiation between two rhizomatous plant species: Typha latifolia and Typha angustifolia. Canadian Journal of Botany. 60. 46-57. 10.1139/b82-007. "
Kalamazoo,Michigan,May,1979,Typha angustifolia,-15,0,0,"Grace, James & Wetzel, Robert. (1982). Niche differentiation between two rhizomatous plant species: Typha latifolia and Typha angustifolia. Canadian Journal of Botany. 60. 46-57. 10.1139/b82-007. "
Kalamazoo,Michigan,May,1979,Typha angustifolia,15,73,2.6,"Grace, James & Wetzel, Robert. (1982). Niche differentiation between two rhizomatous plant species: Typha latifolia and Typha angustifolia. Canadian Journal of Botany. 60. 46-57. 10.1139/b82-007. "
Kalamazoo,Michigan,May,1979,Typha angustifolia,50,107,4.4,"Grace, James & Wetzel, Robert. (1982). Niche differentiation between two rhizomatous plant species: Typha latifolia and Typha angustifolia. Canadian Journal of Botany. 60. 46-57. 10.1139/b82-007. "
Kalamazoo,Michigan,May,1979,Typha angustifolia,80,118,4.5,"Grace, James & Wetzel, Robert. (1982). Niche differentiation between two rhizomatous plant species: Typha latifolia and Typha angustifolia. Canadian Journal of Botany. 60. 46-57. 10.1139/b82-007. "
Kalamazoo,Michigan,May,1979,Typha angustifolia,100,108,3.1,"Grace, James & Wetzel, Robert. (1982). Niche differentiation between two rhizomatous plant species: Typha latifolia and Typha angustifolia. Canadian Journal of Botany. 60. 46-57. 10.1139/b82-007. "
Kalamazoo,Michigan,June,1979,Typha latifolia,-15,120,12.8,"Grace, James & Wetzel, Robert. (1982). Niche differentiation between two rhizomatous plant species: Typha latifolia and Typha angustifolia. Canadian Journal of Botany. 60. 46-57. 10.1139/b82-007. "
Kalamazoo,Michigan,June,1979,Typha latifolia,15,146,16.6,"Grace, James & Wetzel, Robert. (1982). Niche differentiation between two rhizomatous plant species: Typha latifolia and Typha angustifolia. Canadian Journal of Botany. 60. 46-57. 10.1139/b82-007. "
Kalamazoo,Michigan,June,1979,Typha latifolia,50,181,21.4,"Grace, James & Wetzel, Robert. (1982). Niche differentiation between two rhizomatous plant species: Typha latifolia and Typha angustifolia. Canadian Journal of Botany. 60. 46-57. 10.1139/b82-007. "
Kalamazoo,Michigan,June,1979,Typha latifolia,80,0,0,"Grace, James & Wetzel, Robert. (1982). Niche differentiation between two rhizomatous plant species: Typha latifolia and Typha angustifolia. Canadian Journal of Botany. 60. 46-57. 10.1139/b82-007. "
Kalamazoo,Michigan,June,1979,Typha latifolia,100,0,0,"Grace, James & Wetzel, Robert. (1982). Niche differentiation between two rhizomatous plant species: Typha latifolia and Typha angustifolia. Canadian Journal of Botany. 60. 46-57. 10.1139/b82-007. "
Kalamazoo,Michigan,June,1979,Typha angustifolia,-15,0,0,"Grace, James & Wetzel, Robert. (1982). Niche differentiation between two rhizomatous plant species: Typha latifolia and Typha angustifolia. Canadian Journal of Botany. 60. 46-57. 10.1139/b82-007. "
Kalamazoo,Michigan,June,1979,Typha angustifolia,15,0,0,"Grace, James & Wetzel, Robert. (1982). Niche differentiation between two rhizomatous plant species: Typha latifolia and Typha angustifolia. Canadian Journal of Botany. 60. 46-57. 10.1139/b82-007. "
Kalamazoo,Michigan,June,1979,Typha angustifolia,50,219,13.6,"Grace, James & Wetzel, Robert. (1982). Niche differentiation between two rhizomatous plant species: Typha latifolia and Typha angustifolia. Canadian Journal of Botany. 60. 46-57. 10.1139/b82-007. "
Kalamazoo,Michigan,June,1979,Typha angustifolia,80,200,13,"Grace, James & Wetzel, Robert. (1982). Niche differentiation between two rhizomatous plant species: Typha latifolia and Typha angustifolia. Canadian Journal of Botany. 60. 46-57. 10.1139/b82-007. "
Kalamazoo,Michigan,June,1979,Typha angustifolia,100,232,15.6,"Grace, James & Wetzel, Robert. (1982). Niche differentiation between two rhizomatous plant species: Typha latifolia and Typha angustifolia. Canadian Journal of Botany. 60. 46-57. 10.1139/b82-007. "
Kalamazoo,Michigan,July,1979,Typha latifolia,-15,143,23.6,"Grace, James & Wetzel, Robert. (1982). Niche differentiation between two rhizomatous plant species: Typha latifolia and Typha angustifolia. Canadian Journal of Botany. 60. 46-57. 10.1139/b82-007. "
Kalamazoo,Michigan,July,1979,Typha latifolia,15,175,26.7,"Grace, James & Wetzel, Robert. (1982). Niche differentiation between two rhizomatous plant species: Typha latifolia and Typha angustifolia. Canadian Journal of Botany. 60. 46-57. 10.1139/b82-007. "
Kalamazoo,Michigan,July,1979,Typha latifolia,50,191,34.1,"Grace, James & Wetzel, Robert. (1982). Niche differentiation between two rhizomatous plant species: Typha latifolia and Typha angustifolia. Canadian Journal of Botany. 60. 46-57. 10.1139/b82-007. "
Kalamazoo,Michigan,July,1979,Typha latifolia,80,0,0,"Grace, James & Wetzel, Robert. (1982). Niche differentiation between two rhizomatous plant species: Typha latifolia and Typha angustifolia. Canadian Journal of Botany. 60. 46-57. 10.1139/b82-007. "
Kalamazoo,Michigan,July,1979,Typha latifolia,100,0,0,"Grace, James & Wetzel, Robert. (1982). Niche differentiation between two rhizomatous plant species: Typha latifolia and Typha angustifolia. Canadian Journal of Botany. 60. 46-57. 10.1139/b82-007. "
Kalamazoo,Michigan,July,1979,Typha angustifolia,-15,0,0,"Grace, James & Wetzel, Robert. (1982). Niche differentiation between two rhizomatous plant species: Typha latifolia and Typha angustifolia. Canadian Journal of Botany. 60. 46-57. 10.1139/b82-007. "
Kalamazoo,Michigan,July,1979,Typha angustifolia,15,0,0,"Grace, James & Wetzel, Robert. (1982). Niche differentiation between two rhizomatous plant species: Typha latifolia and Typha angustifolia. Canadian Journal of Botany. 60. 46-57. 10.1139/b82-007. "
Kalamazoo,Michigan,July,1979,Typha angustifolia,50,215,14.7,"Grace, James & Wetzel, Robert. (1982). Niche differentiation between two rhizomatous plant species: Typha latifolia and Typha angustifolia. Canadian Journal of Botany. 60. 46-57. 10.1139/b82-007. "
Kalamazoo,Michigan,July,1979,Typha angustifolia,80,226,15.4,"Grace, James & Wetzel, Robert. (1982). Niche differentiation between two rhizomatous plant species: Typha latifolia and Typha angustifolia. Canadian Journal of Botany. 60. 46-57. 10.1139/b82-007. "
Kalamazoo,Michigan,July,1979,Typha angustifolia,100,206,15.6,"Grace, James & Wetzel, Robert. (1982). Niche differentiation between two rhizomatous plant species: Typha latifolia and Typha angustifolia. Canadian Journal of Botany. 60. 46-57. 10.1139/b82-007. "
Kalamazoo,Michigan,August,1979,Typha latifolia,-15,152,27.1,"Grace, James & Wetzel, Robert. (1982). Niche differentiation between two rhizomatous plant species: Typha latifolia and Typha angustifolia. Canadian Journal of Botany. 60. 46-57. 10.1139/b82-007. "
Kalamazoo,Michigan,August,1979,Typha latifolia,15,173,23.4,"Grace, James & Wetzel, Robert. (1982). Niche differentiation between two rhizomatous plant species: Typha latifolia and Typha angustifolia. Canadian Journal of Botany. 60. 46-57. 10.1139/b82-007. "
Kalamazoo,Michigan,August,1979,Typha latifolia,50,193,29.9,"Grace, James & Wetzel, Robert. (1982). Niche differentiation between two rhizomatous plant species: Typha latifolia and Typha angustifolia. Canadian Journal of Botany. 60. 46-57. 10.1139/b82-007. "
Kalamazoo,Michigan,August,1979,Typha latifolia,80,0,0,"Grace, James & Wetzel, Robert. (1982). Niche differentiation between two rhizomatous plant species: Typha latifolia and Typha angustifolia. Canadian Journal of Botany. 60. 46-57. 10.1139/b82-007. "
Kalamazoo,Michigan,August,1979,Typha latifolia,100,0,0,"Grace, James & Wetzel, Robert. (1982). Niche differentiation between two rhizomatous plant species: Typha latifolia and Typha angustifolia. Canadian Journal of Botany. 60. 46-57. 10.1139/b82-007. "
Kalamazoo,Michigan,August,1979,Typha angustifolia,-15,0,0,"Grace, James & Wetzel, Robert. (1982). Niche differentiation between two rhizomatous plant species: Typha latifolia and Typha angustifolia. Canadian Journal of Botany. 60. 46-57. 10.1139/b82-007. "
Kalamazoo,Michigan,August,1979,Typha angustifolia,15,0,0,"Grace, James & Wetzel, Robert. (1982). Niche differentiation between two rhizomatous plant species: Typha latifolia and Typha angustifolia. Canadian Journal of Botany. 60. 46-57. 10.1139/b82-007. "
Kalamazoo,Michigan,August,1979,Typha angustifolia,50,251,25.9,"Grace, James & Wetzel, Robert. (1982). Niche differentiation between two rhizomatous plant species: Typha latifolia and Typha angustifolia. Canadian Journal of Botany. 60. 46-57. 10.1139/b82-007. "
Kalamazoo,Michigan,August,1979,Typha angustifolia,80,268,27.5,"Grace, James & Wetzel, Robert. (1982). Niche differentiation between two rhizomatous plant species: Typha latifolia and Typha angustifolia. Canadian Journal of Botany. 60. 46-57. 10.1139/b82-007. "
Kalamazoo,Michigan,August,1979,Typha angustifolia,100,257,30.3,"Grace, James & Wetzel, Robert. (1982). Niche differentiation between two rhizomatous plant species: Typha latifolia and Typha angustifolia. Canadian Journal of Botany. 60. 46-57. 10.1139/b82-007. "
Kalamazoo,Michigan,Septemebr,1979,Typha latifolia,-15,136,15.7,"Grace, James & Wetzel, Robert. (1982). Niche differentiation between two rhizomatous plant species: Typha latifolia and Typha angustifolia. Canadian Journal of Botany. 60. 46-57. 10.1139/b82-007. "
Kalamazoo,Michigan,Septemebr,1979,Typha latifolia,15,171,30,"Grace, James & Wetzel, Robert. (1982). Niche differentiation between two rhizomatous plant species: Typha latifolia and Typha angustifolia. Canadian Journal of Botany. 60. 46-57. 10.1139/b82-007. "
Kalamazoo,Michigan,Septemebr,1979,Typha latifolia,50,186,28.9,"Grace, James & Wetzel, Robert. (1982). Niche differentiation between two rhizomatous plant species: Typha latifolia and Typha angustifolia. Canadian Journal of Botany. 60. 46-57. 10.1139/b82-007. "
Kalamazoo,Michigan,Septemebr,1979,Typha latifolia,80,0,0,"Grace, James & Wetzel, Robert. (1982). Niche differentiation between two rhizomatous plant species: Typha latifolia and Typha angustifolia. Canadian Journal of Botany. 60. 46-57. 10.1139/b82-007. "
Kalamazoo,Michigan,Septemebr,1979,Typha latifolia,100,0,0,"Grace, James & Wetzel, Robert. (1982). Niche differentiation between two rhizomatous plant species: Typha latifolia and Typha angustifolia. Canadian Journal of Botany. 60. 46-57. 10.1139/b82-007. "
Kalamazoo,Michigan,Septemebr,1979,Typha angustifolia,-15,0,0,"Grace, James & Wetzel, Robert. (1982). Niche differentiation between two rhizomatous plant species: Typha latifolia and Typha angustifolia. Canadian Journal of Botany. 60. 46-57. 10.1139/b82-007. "
Kalamazoo,Michigan,Septemebr,1979,Typha angustifolia,15,0,0,"Grace, James & Wetzel, Robert. (1982). Niche differentiation between two rhizomatous plant species: Typha latifolia and Typha angustifolia. Canadian Journal of Botany. 60. 46-57. 10.1139/b82-007. "
Kalamazoo,Michigan,Septemebr,1979,Typha angustifolia,50,194,11.4,"Grace, James & Wetzel, Robert. (1982). Niche differentiation between two rhizomatous plant species: Typha latifolia and Typha angustifolia. Canadian Journal of Botany. 60. 46-57. 10.1139/b82-007. "
Kalamazoo,Michigan,Septemebr,1979,Typha angustifolia,80,211,12.9,"Grace, James & Wetzel, Robert. (1982). Niche differentiation between two rhizomatous plant species: Typha latifolia and Typha angustifolia. Canadian Journal of Botany. 60. 46-57. 10.1139/b82-007. "
Kalamazoo,Michigan,Septemebr,1979,Typha angustifolia,100,236,18.9,"Grace, James & Wetzel, Robert. (1982). Niche differentiation between two rhizomatous plant species: Typha latifolia and Typha angustifolia. Canadian Journal of Botany. 60. 46-57. 10.1139/b82-007. "
