location (state),time (year),species,depth range (cm),percent relative density,source
Michigan,1979,Typha latifolia,0-30,42,"James B Grace, Robert G Wetzel,
Long-term dynamics of Typha populations,
Aquatic Botany,
Volume 61, Issue 2,
1998,
Pages 137-146,
ISSN 0304-3770."
Michigan,1979,Typha angustifolia ,0-30,8,"James B Grace, Robert G Wetzel,
Long-term dynamics of Typha populations,
Aquatic Botany,
Volume 61, Issue 2,
1998,
Pages 137-146,
ISSN 0304-3770."
Michigan,1979,Typha latifolia,30-60,51,"James B Grace, Robert G Wetzel,
Long-term dynamics of Typha populations,
Aquatic Botany,
Volume 61, Issue 2,
1998,
Pages 137-146,
ISSN 0304-3770."
Michigan,1979,Typha angustifolia ,30-60,31,"James B Grace, Robert G Wetzel,
Long-term dynamics of Typha populations,
Aquatic Botany,
Volume 61, Issue 2,
1998,
Pages 137-146,
ISSN 0304-3770."
Michigan,1979,Typha latifolia,60-90,2,"James B Grace, Robert G Wetzel,
Long-term dynamics of Typha populations,
Aquatic Botany,
Volume 61, Issue 2,
1998,
Pages 137-146,
ISSN 0304-3770."
Michigan,1979,Typha angustifolia ,60-90,57,"James B Grace, Robert G Wetzel,
Long-term dynamics of Typha populations,
Aquatic Botany,
Volume 61, Issue 2,
1998,
Pages 137-146,
ISSN 0304-3770."
Michigan,1994,Typha latifolia,0-30,34,"James B Grace, Robert G Wetzel,
Long-term dynamics of Typha populations,
Aquatic Botany,
Volume 61, Issue 2,
1998,
Pages 137-146,
ISSN 0304-3770."
Michigan,1994,Typha angustifolia ,0-30,1,"James B Grace, Robert G Wetzel,
Long-term dynamics of Typha populations,
Aquatic Botany,
Volume 61, Issue 2,
1998,
Pages 137-146,
ISSN 0304-3770."
Michigan,1994,Typha latifolia,30-60,48,"James B Grace, Robert G Wetzel,
Long-term dynamics of Typha populations,
Aquatic Botany,
Volume 61, Issue 2,
1998,
Pages 137-146,
ISSN 0304-3770."
Michigan,1994,Typha angustifolia ,30-60,31,"James B Grace, Robert G Wetzel,
Long-term dynamics of Typha populations,
Aquatic Botany,
Volume 61, Issue 2,
1998,
Pages 137-146,
ISSN 0304-3770."
Michigan,1994,Typha latifolia,60-90,12,"James B Grace, Robert G Wetzel,
Long-term dynamics of Typha populations,
Aquatic Botany,
Volume 61, Issue 2,
1998,
Pages 137-146,
ISSN 0304-3770."
Michigan,1994,Typha angustifolia ,60-90,61,"James B Grace, Robert G Wetzel,
Long-term dynamics of Typha populations,
Aquatic Botany,
Volume 61, Issue 2,
1998,
Pages 137-146,
ISSN 0304-3770."
