location_where_seed_is_from ,location_of_experiment,year,species,temperature_C,germination_perc,source
Minnesota,growth chamber,1977,typha latifolia,10,1,"Bonnewell, V. & Koukkari, W. & Pratt, D.. (1983). Light, oxygen, and temperature requirements for Typha latifolia seed germination. Canadian Journal of Botany. 61. 1330-1336. 10.1139/b83-140. "
Minnesota,growth chamber,1977,typha latifolia,15,4,"Bonnewell, V. & Koukkari, W. & Pratt, D.. (1983). Light, oxygen, and temperature requirements for Typha latifolia seed germination. Canadian Journal of Botany. 61. 1330-1336. 10.1139/b83-140. "
Minnesota,growth chamber,1977,typha latifolia,20,43,"Bonnewell, V. & Koukkari, W. & Pratt, D.. (1983). Light, oxygen, and temperature requirements for Typha latifolia seed germination. Canadian Journal of Botany. 61. 1330-1336. 10.1139/b83-140. "
Minnesota,growth chamber,1977,typha latifolia,25,60,"Bonnewell, V. & Koukkari, W. & Pratt, D.. (1983). Light, oxygen, and temperature requirements for Typha latifolia seed germination. Canadian Journal of Botany. 61. 1330-1336. 10.1139/b83-140. "
Minnesota,growth chamber,1977,typha latifolia,30,76,"Bonnewell, V. & Koukkari, W. & Pratt, D.. (1983). Light, oxygen, and temperature requirements for Typha latifolia seed germination. Canadian Journal of Botany. 61. 1330-1336. 10.1139/b83-140. "
Minnesota,growth chamber,1977,typha latifolia,35,79,"Bonnewell, V. & Koukkari, W. & Pratt, D.. (1983). Light, oxygen, and temperature requirements for Typha latifolia seed germination. Canadian Journal of Botany. 61. 1330-1336. 10.1139/b83-140. "
Minnesota,growth chamber,1978,typha latifolia,10,1,"Bonnewell, V. & Koukkari, W. & Pratt, D.. (1983). Light, oxygen, and temperature requirements for Typha latifolia seed germination. Canadian Journal of Botany. 61. 1330-1336. 10.1139/b83-140. "
Minnesota,growth chamber,1978,typha latifolia,15,9,"Bonnewell, V. & Koukkari, W. & Pratt, D.. (1983). Light, oxygen, and temperature requirements for Typha latifolia seed germination. Canadian Journal of Botany. 61. 1330-1336. 10.1139/b83-140. "
Minnesota,growth chamber,1978,typha latifolia,20,65,"Bonnewell, V. & Koukkari, W. & Pratt, D.. (1983). Light, oxygen, and temperature requirements for Typha latifolia seed germination. Canadian Journal of Botany. 61. 1330-1336. 10.1139/b83-140. "
Minnesota,growth chamber,1978,typha latifolia,25,75,"Bonnewell, V. & Koukkari, W. & Pratt, D.. (1983). Light, oxygen, and temperature requirements for Typha latifolia seed germination. Canadian Journal of Botany. 61. 1330-1336. 10.1139/b83-140. "
Minnesota,growth chamber,1978,typha latifolia,30,85,"Bonnewell, V. & Koukkari, W. & Pratt, D.. (1983). Light, oxygen, and temperature requirements for Typha latifolia seed germination. Canadian Journal of Botany. 61. 1330-1336. 10.1139/b83-140. "
Minnesota,growth chamber,1978,typha latifolia,35,95,"Bonnewell, V. & Koukkari, W. & Pratt, D.. (1983). Light, oxygen, and temperature requirements for Typha latifolia seed germination. Canadian Journal of Botany. 61. 1330-1336. 10.1139/b83-140. "
