condition,Year,species,low_temperature_C,high_temperature_C,germination_perc,note_1,note_2,source
submerged,1923,Typha latifolia,10,22,56,The exposure to the higher temperature was for 6-hrs and to the lower temperatures for 18-hrs.,The issue with this study is that they test a range of temperatures instead of one single temperature.,"Morinaga, Toshitaro. “Effect of Alternating Temperatures Upon the Germination of Seeds.” American Journal of Botany, vol. 13, no. 2, 1926, pp. 141–158. JSTOR, www.jstor.org/stable/2435354. Accessed 1 May 2020."
submerged,1923,Typha latifolia,10,27,32,The exposure to the higher temperature was for 6-hrs and to the lower temperatures for 18-hrs.,The issue with this study is that they test a range of temperatures instead of one single temperature.,"Morinaga, Toshitaro. “Effect of Alternating Temperatures Upon the Germination of Seeds.” American Journal of Botany, vol. 13, no. 2, 1926, pp. 141–158. JSTOR, www.jstor.org/stable/2435354. Accessed 1 May 2020."
submerged,1923,Typha latifolia,10,32,82,The exposure to the higher temperature was for 6-hrs and to the lower temperatures for 18-hrs.,The issue with this study is that they test a range of temperatures instead of one single temperature.,"Morinaga, Toshitaro. “Effect of Alternating Temperatures Upon the Germination of Seeds.” American Journal of Botany, vol. 13, no. 2, 1926, pp. 141–158. JSTOR, www.jstor.org/stable/2435354. Accessed 1 May 2020."
submerged,1923,Typha latifolia,10,38,95,The exposure to the higher temperature was for 6-hrs and to the lower temperatures for 18-hrs.,The issue with this study is that they test a range of temperatures instead of one single temperature.,"Morinaga, Toshitaro. “Effect of Alternating Temperatures Upon the Germination of Seeds.” American Journal of Botany, vol. 13, no. 2, 1926, pp. 141–158. JSTOR, www.jstor.org/stable/2435354. Accessed 1 May 2020."
submerged,1923,Typha latifolia,15,27,12,The exposure to the higher temperature was for 6-hrs and to the lower temperatures for 18-hrs.,The issue with this study is that they test a range of temperatures instead of one single temperature.,"Morinaga, Toshitaro. “Effect of Alternating Temperatures Upon the Germination of Seeds.” American Journal of Botany, vol. 13, no. 2, 1926, pp. 141–158. JSTOR, www.jstor.org/stable/2435354. Accessed 1 May 2020."
submerged,1923,Typha latifolia,15,32,55,The exposure to the higher temperature was for 6-hrs and to the lower temperatures for 18-hrs.,The issue with this study is that they test a range of temperatures instead of one single temperature.,"Morinaga, Toshitaro. “Effect of Alternating Temperatures Upon the Germination of Seeds.” American Journal of Botany, vol. 13, no. 2, 1926, pp. 141–158. JSTOR, www.jstor.org/stable/2435354. Accessed 1 May 2020."
submerged,1923,Typha latifolia,15,38,85,The exposure to the higher temperature was for 6-hrs and to the lower temperatures for 18-hrs.,The issue with this study is that they test a range of temperatures instead of one single temperature.,"Morinaga, Toshitaro. “Effect of Alternating Temperatures Upon the Germination of Seeds.” American Journal of Botany, vol. 13, no. 2, 1926, pp. 141–158. JSTOR, www.jstor.org/stable/2435354. Accessed 1 May 2020."
submerged,1923,Typha latifolia,22,32,0,The exposure to the higher temperature was for 6-hrs and to the lower temperatures for 18-hrs.,The issue with this study is that they test a range of temperatures instead of one single temperature.,"Morinaga, Toshitaro. “Effect of Alternating Temperatures Upon the Germination of Seeds.” American Journal of Botany, vol. 13, no. 2, 1926, pp. 141–158. JSTOR, www.jstor.org/stable/2435354. Accessed 1 May 2020."
submerged,1923,Typha latifolia,22,38,15,The exposure to the higher temperature was for 6-hrs and to the lower temperatures for 18-hrs.,The issue with this study is that they test a range of temperatures instead of one single temperature.,"Morinaga, Toshitaro. “Effect of Alternating Temperatures Upon the Germination of Seeds.” American Journal of Botany, vol. 13, no. 2, 1926, pp. 141–158. JSTOR, www.jstor.org/stable/2435354. Accessed 1 May 2020."
moist,1923,Typha latifolia,10,22,57,The exposure to the higher temperature was for 6-hrs and to the lower temperatures for 18-hrs.,The issue with this study is that they test a range of temperatures instead of one single temperature.,"Morinaga, Toshitaro. “Effect of Alternating Temperatures Upon the Germination of Seeds.” American Journal of Botany, vol. 13, no. 2, 1926, pp. 141–158. JSTOR, www.jstor.org/stable/2435354. Accessed 1 May 2020."
