"yyyymmdd,Hr:Min:Sec,Temp"
"20160605,0:00:00,16.49"
"20160605,1:00:00,16.53"
"20160605,2:00:00,16.84"
"20160605,3:00:00,17.01"
"20160605,4:00:00,17.25"
"20160605,5:00:00,17.56"
"20160605,6:00:00,17.89"
"20160605,7:00:00,18.53"
"20160605,8:00:00,19.2"
"20160605,9:00:00,20.75"
"20160605,10:00:00,21.8"
"20160605,11:00:00,22.37"
"20160605,12:00:00,24.27"
"20160605,13:00:00,21.87"
"20160605,14:00:00,20.58"
"20160605,15:00:00,19.58"
"20160605,16:00:00,18.79"
"20160605,17:00:00,18.34"
"20160605,18:00:00,18.03"
"20160605,19:00:00,17.82"
"20160605,20:00:00,17.68"
"20160605,21:00:00,17.72"
"20160605,22:00:00,17.7"
"20160605,23:00:00,17.72"
"20160606,0:00:00,17.75"
"20160606,1:00:00,17.77"
"20160606,2:00:00,17.75"
"20160606,3:00:00,17.8"
"20160606,4:00:00,17.89"
"20160606,5:00:00,18.08"
"20160606,6:00:00,18.46"
"20160606,7:00:00,18.87"
"20160606,8:00:00,19.72"
"20160606,9:00:00,20.91"
"20160606,10:00:00,22.01"
"20160606,11:00:00,21.6"
"20160606,12:00:00,20.84"
"20160606,13:00:00,20.15"
"20160606,14:00:00,19.84"
"20160606,15:00:00,18.96"
"20160606,16:00:00,18.46"
"20160606,17:00:00,18.18"
"20160606,18:00:00,17.89"
"20160606,19:00:00,17.94"
"20160606,20:00:00,18.03"
"20160606,21:00:00,18.13"
"20160606,22:00:00,18.08"
"20160606,23:00:00,18.08"
"20160607,0:00:00,18.08"
"20160607,1:00:00,18.11"
"20160607,2:00:00,18.06"
"20160607,3:00:00,18.08"
"20160607,4:00:00,18.18"
"20160607,5:00:00,18.32"
"20160607,6:00:00,18.46"
"20160607,7:00:00,18.79"
"20160607,8:00:00,19.18"
"20160607,9:00:00,20.06"
"20160607,10:00:00,21.08"
"20160607,11:00:00,21.6"
"20160607,12:00:00,21.22"
"20160607,13:00:00,19.65"
"20160607,14:00:00,19.63"
"20160607,15:00:00,19.29"
"20160607,16:00:00,18.84"
"20160607,17:00:00,18.49"
"20160607,18:00:00,18.25"
"20160607,19:00:00,18.03"
"20160607,20:00:00,17.82"
"20160607,21:00:00,17.92"
"20160607,22:00:00,17.89"
"20160607,23:00:00,17.94"
"20160608,0:00:00,17.94"
"20160608,1:00:00,17.92"
"20160608,2:00:00,17.96"
"20160608,3:00:00,18.06"
"20160608,4:00:00,18.2"
"20160608,5:00:00,18.32"
"20160608,6:00:00,18.44"
"20160608,7:00:00,18.7"
"20160608,8:00:00,18.91"
"20160608,9:00:00,19.08"
"20160608,10:00:00,19.01"
"20160608,11:00:00,19.1"
"20160608,12:00:00,19.22"
"20160608,13:00:00,22.35"
"20160608,14:00:00,22.18"
"20160608,15:00:00,21.68"
"20160608,16:00:00,20.91"
"20160608,17:00:00,20.32"
"20160608,18:00:00,19.96"
"20160608,19:00:00,19.87"
"20160608,20:00:00,19.63"
"20160608,21:00:00,19.44"
"20160608,22:00:00,19.22"
"20160608,23:00:00,19.08"
"20160609,0:00:00,18.96"
"20160609,1:00:00,18.96"
"20160609,2:00:00,18.87"
"20160609,3:00:00,18.77"
"20160609,4:00:00,18.75"
"20160609,5:00:00,18.77"
"20160609,6:00:00,18.94"
"20160609,7:00:00,19.25"
"20160609,8:00:00,20.17"
"20160609,9:00:00,20.98"
"20160609,10:00:00,21.2"
"20160609,11:00:00,21.22"
"20160609,12:00:00,21.58"
"20160609,13:00:00,21.56"
"20160609,14:00:00,20.39"
"20160609,15:00:00,19.56"
"20160609,16:00:00,19.79"
"20160609,17:00:00,19.7"
"20160609,18:00:00,19.27"
"20160609,19:00:00,18.89"
"20160609,20:00:00,18.72"
"20160609,21:00:00,18.6"
"20160609,22:00:00,18.53"
"20160609,23:00:00,18.39"
"20160610,0:00:00,18.34"
"20160610,1:00:00,18.3"
"20160610,2:00:00,18.25"
"20160610,3:00:00,18.3"
"20160610,4:00:00,18.34"
"20160610,5:00:00,18.46"
"20160610,6:00:00,18.82"
"20160610,7:00:00,19.2"
"20160610,8:00:00,19.53"
"20160610,9:00:00,19.44"
"20160610,10:00:00,19.48"
"20160610,11:00:00,19.46"
"20160610,12:00:00,19.46"
"20160610,13:00:00,19.46"
"20160610,14:00:00,19.29"
"20160610,15:00:00,18.94"
"20160610,16:00:00,18.75"
"20160610,17:00:00,18.72"
"20160610,18:00:00,18.63"
"20160610,19:00:00,18.44"
"20160610,20:00:00,18.37"
"20160610,21:00:00,18.25"
"20160610,22:00:00,18.11"
"20160610,23:00:00,18.11"
"20160611,0:00:00,18.18"
"20160611,1:00:00,18.03"
"20160611,2:00:00,18.06"
"20160611,3:00:00,17.96"
"20160611,4:00:00,18.03"
"20160611,5:00:00,18.03"
"20160611,6:00:00,18.34"
"20160611,7:00:00,18.68"
